,Squad,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Saves,Sh,SoT,FK,TB,Sw,Crs,CK,TklW,Blocks,Int,Clr,Err,Poss,Fls,Fld,Off,PKwon,PKcon,Recov
0,Arsenal,1.394736842105263,1.0,1.2894736842105263,0.13157894736842105,19.94736842105263,46.31578947368421,2.4473684210526314,11.921052631578947,3.6842105263157894,11.578947368421053,0.8947368421052632,3.5,19.763157894736842,5.447368421052632,6.631578947368421,9.68421052631579,9.236842105263158,16.92105263157895,0.42105263157894735,53.5,9.105263157894736,10.526315789473685,1.605263157894737,0.13157894736842105,0.07894736842105263,48.36842105263158
1,Aston Villa,1.368421052631579,1.0,1.868421052631579,0.10526315789473684,16.55263157894737,37.36842105263158,3.5,13.526315789473685,4.684210526315789,15.526315789473685,0.3157894736842105,3.3421052631578947,20.5,5.605263157894737,7.421052631578948,11.526315789473685,10.18421052631579,20.605263157894736,0.4473684210526316,48.5,11.552631578947368,14.552631578947368,1.868421052631579,0.15789473684210525,0.15789473684210525,50.1578947368421
2,Brighton,1.0263157894736843,0.631578947368421,1.2894736842105263,0.15789473684210525,18.026315789473685,39.89473684210526,2.1315789473684212,12.578947368421053,3.526315789473684,10.631578947368421,0.4473684210526316,4.315789473684211,18.05263157894737,5.7631578947368425,8.789473684210526,10.973684210526315,11.18421052631579,15.894736842105264,0.21052631578947367,51.1,11.263157894736842,9.394736842105264,1.368421052631579,0.18421052631578946,0.18421052631578946,53.68421052631579
3,Burnley,0.8421052631578947,0.5263157894736842,1.263157894736842,0.0,10.236842105263158,26.63157894736842,3.289473684210526,10.026315789473685,3.263157894736842,12.131578947368421,0.2631578947368421,2.8947368421052633,20.31578947368421,4.526315789473684,7.7105263157894735,11.578947368421053,10.947368421052632,21.68421052631579,0.2894736842105263,42.1,10.105263157894736,10.236842105263158,2.1052631578947367,0.07894736842105263,0.07894736842105263,52.63157894736842
4,Chelsea,1.4736842105263157,1.0,1.3421052631578947,0.07894736842105263,23.55263157894737,47.31578947368421,1.868421052631579,14.368421052631579,5.078947368421052,10.578947368421053,0.7631578947368421,4.052631578947368,19.710526315789473,5.947368421052632,8.973684210526315,11.052631578947368,10.052631578947368,17.394736842105264,0.42105263157894735,60.9,11.394736842105264,9.578947368421053,2.0789473684210527,0.2631578947368421,0.10526315789473684,52.60526315789474
5,Crystal Palace,1.0263157894736843,0.7631578947368421,1.4736842105263157,0.05263157894736842,13.842105263157896,29.789473684210527,2.8157894736842106,9.078947368421053,3.3421052631578947,12.447368421052632,0.21052631578947367,1.236842105263158,14.026315789473685,3.973684210526316,9.631578947368421,11.763157894736842,10.421052631578947,20.36842105263158,0.34210526315789475,40.6,10.763157894736842,11.473684210526315,1.763157894736842,0.05263157894736842,0.10526315789473684,50.60526315789474
6,Everton,1.1842105263157894,0.8421052631578947,1.5526315789473684,0.05263157894736842,15.894736842105264,31.157894736842106,3.0,10.394736842105264,3.763157894736842,11.210526315789474,0.7368421052631579,3.1842105263157894,17.42105263157895,4.394736842105263,10.026315789473685,12.052631578947368,10.31578947368421,22.289473684210527,0.5,46.4,10.157894736842104,10.31578947368421,1.7105263157894737,0.10526315789473684,0.10526315789473684,53.421052631578945
7,Fulham,0.6842105263157895,0.47368421052631576,1.763157894736842,0.07894736842105263,19.13157894736842,35.63157894736842,3.1052631578947367,11.473684210526315,3.289473684210526,12.342105263157896,0.4473684210526316,2.8684210526315788,18.68421052631579,4.315789473684211,8.657894736842104,9.368421052631579,11.5,20.894736842105264,0.34210526315789475,49.7,12.736842105263158,9.789473684210526,1.131578947368421,0.13157894736842105,0.18421052631578946,52.89473684210526
8,Leeds United,1.5789473684210527,1.1842105263157894,1.605263157894737,0.02631578947368421,21.342105263157894,42.973684210526315,3.8157894736842106,13.631578947368421,5.078947368421052,12.289473684210526,0.7105263157894737,5.394736842105263,20.68421052631579,6.026315789473684,10.973684210526315,10.68421052631579,10.447368421052632,17.0,0.6842105263157895,57.3,11.368421052631579,10.789473684210526,2.0,0.07894736842105263,0.23684210526315788,56.8421052631579
9,Leicester City,1.6842105263157894,1.1842105263157894,1.605263157894737,0.0,17.526315789473685,38.526315789473685,2.3157894736842106,12.447368421052632,4.473684210526316,12.473684210526315,0.9210526315789473,2.4210526315789473,17.07894736842105,5.578947368421052,10.605263157894736,10.157894736842104,11.526315789473685,18.026315789473685,0.23684210526315788,54.3,10.868421052631579,11.078947368421053,1.868421052631579,0.2894736842105263,0.10526315789473684,55.55263157894737
10,Liverpool,1.7105263157894737,1.131578947368421,1.0526315789473684,0.0,23.31578947368421,54.13157894736842,2.5526315789473686,15.842105263157896,5.368421052631579,10.763157894736842,1.1578947368421053,4.105263157894737,22.68421052631579,6.7631578947368425,7.973684210526316,8.894736842105264,9.131578947368421,14.81578947368421,0.5263157894736842,62.1,10.421052631578947,8.31578947368421,1.7105263157894737,0.10526315789473684,0.21052631578947367,57.94736842105263
11,Manchester City,2.1578947368421053,1.4473684210526316,1.2105263157894737,0.05263157894736842,28.842105263157894,53.973684210526315,1.763157894736842,15.526315789473685,5.552631578947368,11.131578947368421,1.0,3.8421052631578947,16.63157894736842,6.5,7.131578947368421,8.157894736842104,8.394736842105264,11.921052631578947,0.2894736842105263,63.5,9.5,9.789473684210526,1.5,0.18421052631578946,0.2631578947368421,51.21052631578947
12,Manchester Utd,1.8421052631578947,1.3421052631578947,1.6842105263157894,0.02631578947368421,23.07894736842105,48.21052631578947,2.5789473684210527,13.552631578947368,5.157894736842105,11.394736842105264,0.8947368421052632,5.552631578947368,16.842105263157894,5.184210526315789,8.18421052631579,11.0,10.157894736842104,16.68421052631579,0.5263157894736842,55.7,11.894736842105264,10.526315789473685,2.0,0.23684210526315788,0.10526315789473684,55.89473684210526
13,Newcastle Utd,1.1578947368421053,0.6842105263157895,1.7105263157894737,0.07894736842105263,12.289473684210526,23.763157894736842,3.3684210526315788,10.263157894736842,3.4210526315789473,12.210526315789474,0.3157894736842105,3.210526315789474,17.157894736842106,4.2368421052631575,7.052631578947368,11.131578947368421,9.526315789473685,23.894736842105264,0.2631578947368421,38.8,10.210526315789474,11.052631578947368,1.5263157894736843,0.15789473684210525,0.13157894736842105,46.578947368421055
14,Sheffield Utd,0.5,0.34210526315789475,1.9210526315789473,0.07894736842105263,12.921052631578947,31.473684210526315,3.8157894736842106,8.394736842105264,2.4210526315789473,9.131578947368421,0.34210526315789475,3.026315789473684,17.526315789473685,4.473684210526316,9.368421052631579,11.631578947368421,9.236842105263158,22.07894736842105,0.5,41.7,12.078947368421053,7.7105263157894735,1.9210526315789473,0.07894736842105263,0.10526315789473684,47.421052631578945
15,Southampton,1.236842105263158,0.868421052631579,1.368421052631579,0.07894736842105263,16.473684210526315,31.44736842105263,2.8947368421052633,11.0,4.131578947368421,13.052631578947368,0.42105263157894735,2.289473684210526,14.578947368421053,4.657894736842105,11.026315789473685,11.552631578947368,10.552631578947368,17.92105263157895,0.2631578947368421,52.0,11.263157894736842,11.078947368421053,2.0,0.10526315789473684,0.23684210526315788,52.89473684210526
16,Tottenham,1.736842105263158,1.3157894736842106,1.5,0.05263157894736842,16.657894736842106,35.0,2.973684210526316,11.526315789473685,4.394736842105263,13.789473684210526,0.7368421052631579,3.8684210526315788,13.842105263157896,4.421052631578948,9.5,11.421052631578947,9.0,20.92105263157895,0.39473684210526316,51.6,11.578947368421053,12.31578947368421,1.1842105263157894,0.13157894736842105,0.2631578947368421,51.3421052631579
17,West Brom,0.868421052631579,0.5263157894736842,1.3421052631578947,0.10526315789473684,11.605263157894736,27.026315789473685,4.368421052631579,8.81578947368421,2.789473684210526,12.18421052631579,0.34210526315789475,2.763157894736842,15.894736842105264,3.789473684210526,8.631578947368421,11.973684210526315,11.447368421052632,23.05263157894737,0.34210526315789475,37.9,10.631578947368421,10.842105263157896,1.9736842105263157,0.10526315789473684,0.2894736842105263,51.6578947368421
18,West Ham,1.5789473684210527,1.2105263157894737,1.3157894736842106,0.07894736842105263,17.31578947368421,33.73684210526316,2.710526315789474,12.210526315789474,4.157894736842105,10.473684210526315,0.39473684210526316,2.8684210526315788,20.394736842105264,4.394736842105263,7.368421052631579,10.657894736842104,11.5,20.5,0.2894736842105263,43.2,9.868421052631579,9.31578947368421,1.9473684210526316,0.07894736842105263,0.13157894736842105,52.76315789473684
19,Wolves,0.8947368421052632,0.5526315789473685,1.4473684210526316,0.02631578947368421,21.05263157894737,33.76315789473684,2.6842105263157894,12.078947368421053,3.9210526315789473,11.68421052631579,0.5263157894736842,3.710526315789474,20.394736842105264,5.473684210526316,8.81578947368421,9.447368421052632,11.368421052631579,19.13157894736842,0.39473684210526316,49.3,11.210526315789474,10.078947368421053,0.9736842105263158,0.07894736842105263,0.21052631578947367,49.973684210526315
