,Squad,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Saves,Sh,SoT,FK,TB,Sw,Crs,CK,TklW,Blocks,Int,Clr,Err,Poss,Fls,Fld,Off,PKwon,PKcon,Recov
0,Arsenal,1.8157894736842106,1.368421052631579,1.9210526315789473,0.05263157894736842,22.842105263157894,49.31578947368421,3.473684210526316,12.157894736842104,4.184210526315789,14.289473684210526,1.7105263157894737,4.0,15.921052631578947,5.5,9.631578947368421,11.157894736842104,10.842105263157896,21.0,0.7368421052631579,58.1,10.842105263157896,11.973684210526315,2.3421052631578947,0.10526315789473684,0.18421052631578946,52.63157894736842
1,Bournemouth,1.4473684210526316,1.131578947368421,1.5789473684210527,0.02631578947368421,19.42105263157895,37.76315789473684,2.789473684210526,11.5,4.026315789473684,13.473684210526315,1.5,2.210526315789474,16.13157894736842,5.026315789473684,7.868421052631579,10.657894736842104,9.763157894736842,28.894736842105264,0.5526315789473685,46.9,8.947368421052632,11.605263157894736,1.5,0.21052631578947367,0.13157894736842105,50.26315789473684
2,Brighton,0.9210526315789473,0.631578947368421,1.605263157894737,0.10526315789473684,12.5,30.263157894736842,2.8947368421052633,9.578947368421053,2.6052631578947367,8.68421052631579,0.39473684210526316,4.947368421052632,16.736842105263158,4.105263157894737,10.289473684210526,10.921052631578947,12.18421052631579,26.342105263157894,0.4473684210526316,42.4,12.18421052631579,7.921052631578948,2.3684210526315788,0.13157894736842105,0.2631578947368421,52.078947368421055
3,Burnley,1.131578947368421,0.8421052631578947,1.9736842105263157,0.02631578947368421,11.078947368421053,27.157894736842106,3.526315789473684,9.421052631578947,2.9473684210526314,10.394736842105264,0.9210526315789473,2.8421052631578947,18.210526315789473,3.6578947368421053,8.18421052631579,13.578947368421053,9.657894736842104,30.42105263157895,0.5,41.2,9.473684210526315,9.368421052631579,2.789473684210526,0.02631578947368421,0.07894736842105263,51.44736842105263
4,Cardiff City,0.868421052631579,0.5263157894736842,1.736842105263158,0.02631578947368421,11.421052631578947,24.157894736842106,3.5526315789473686,10.868421052631579,2.973684210526316,11.131578947368421,1.0263157894736843,1.5789473684210527,14.789473684210526,4.421052631578948,9.868421052631579,12.894736842105264,13.921052631578947,27.210526315789473,0.47368421052631576,35.4,9.842105263157896,10.263157894736842,2.026315789473684,0.05263157894736842,0.18421052631578946,51.973684210526315
5,Chelsea,1.605263157894737,1.368421052631579,1.2894736842105263,0.0,27.842105263157894,56.71052631578947,2.210526315789474,15.842105263157896,5.052631578947368,12.394736842105264,3.8421052631578947,5.684210526315789,18.210526315789473,5.657894736842105,9.605263157894736,9.394736842105264,9.289473684210526,16.973684210526315,0.42105263157894735,62.9,8.921052631578947,11.157894736842104,2.1842105263157894,0.13157894736842105,0.05263157894736842,57.13157894736842
6,Crystal Palace,1.263157894736842,0.868421052631579,1.5263157894736843,0.05263157894736842,20.289473684210527,38.36842105263158,2.8947368421052633,12.68421052631579,3.5526315789473686,11.447368421052632,0.6842105263157895,2.6578947368421053,15.18421052631579,5.394736842105263,11.736842105263158,11.605263157894736,11.710526315789474,26.605263157894736,0.4473684210526316,45.2,10.157894736842104,10.289473684210526,2.0526315789473686,0.2631578947368421,0.13157894736842105,52.526315789473685
7,Everton,1.394736842105263,0.8947368421052632,1.4736842105263157,0.10526315789473684,18.342105263157894,41.60526315789474,2.3421052631578947,12.973684210526315,4.2894736842105265,13.026315789473685,1.1578947368421053,3.6842105263157894,21.42105263157895,5.657894736842105,11.605263157894736,10.894736842105264,11.921052631578947,23.07894736842105,0.5526315789473685,51.5,11.368421052631579,11.0,1.8157894736842106,0.10526315789473684,0.13157894736842105,56.76315789473684
8,Fulham,0.868421052631579,0.631578947368421,1.8421052631578947,0.05263157894736842,16.526315789473685,39.13157894736842,3.8421052631578947,11.868421052631579,3.6842105263157894,10.842105263157896,0.868421052631579,3.8157894736842106,16.07894736842105,4.2368421052631575,9.526315789473685,11.18421052631579,11.421052631578947,27.105263157894736,0.7368421052631579,48.8,11.131578947368421,9.0,2.3684210526315788,0.05263157894736842,0.18421052631578946,54.526315789473685
9,Huddersfield,0.5526315789473685,0.34210526315789475,1.4736842105263157,0.10526315789473684,15.81578947368421,32.8421052631579,2.8947368421052633,10.526315789473685,3.0526315789473686,11.68421052631579,0.5789473684210527,3.4210526315789473,20.210526315789473,4.2631578947368425,11.18421052631579,13.052631578947368,13.973684210526315,17.94736842105263,0.39473684210526316,47.2,11.052631578947368,9.736842105263158,1.6578947368421053,0.02631578947368421,0.23684210526315788,54.28947368421053
10,Leicester City,1.263157894736842,0.8947368421052632,1.5789473684210527,0.13157894736842105,19.789473684210527,40.44736842105263,2.3684210526315788,13.368421052631579,4.552631578947368,11.921052631578947,2.3157894736842106,4.894736842105263,20.5,5.526315789473684,10.342105263157896,11.289473684210526,11.526315789473685,27.210526315789473,0.631578947368421,50.9,9.236842105263158,9.947368421052632,1.894736842105263,0.15789473684210525,0.13157894736842105,54.921052631578945
11,Liverpool,2.263157894736842,1.4473684210526316,1.0263157894736843,0.05263157894736842,22.55263157894737,52.8421052631579,1.9473684210526316,14.947368421052632,5.552631578947368,12.18421052631579,2.5789473684210527,4.868421052631579,18.973684210526315,6.552631578947368,9.921052631578947,9.5,8.263157894736842,17.63157894736842,0.42105263157894735,61.8,8.289473684210526,9.131578947368421,2.026315789473684,0.18421052631578946,0.02631578947368421,55.55263157894737
12,Manchester City,2.3947368421052633,1.868421052631579,1.1578947368421053,0.02631578947368421,34.86842105263158,63.921052631578945,1.5263157894736843,17.86842105263158,6.631578947368421,9.052631578947368,2.9473684210526314,5.947368421052632,20.605263157894736,7.842105263157895,8.605263157894736,8.394736842105264,9.526315789473685,15.0,0.39473684210526316,67.9,8.631578947368421,7.921052631578948,2.5789473684210527,0.10526315789473684,0.10526315789473684,52.63157894736842
13,Manchester Utd,1.7105263157894737,1.0526315789473684,1.9736842105263157,0.10526315789473684,21.07894736842105,43.89473684210526,3.1578947368421053,13.526315789473685,5.526315789473684,11.447368421052632,1.6578947368421053,5.447368421052632,16.789473684210527,5.2631578947368425,9.131578947368421,11.710526315789474,9.342105263157896,22.289473684210527,0.6842105263157895,54.7,11.394736842105264,10.447368421052632,2.3684210526315788,0.2894736842105263,0.15789473684210525,51.81578947368421
14,Newcastle Utd,1.0789473684210527,0.868421052631579,1.5,0.05263157894736842,12.289473684210526,25.92105263157895,2.4473684210526314,11.657894736842104,3.5789473684210527,10.236842105263158,1.3157894736842106,5.7105263157894735,18.710526315789473,4.7631578947368425,11.394736842105264,12.421052631578947,13.31578947368421,31.68421052631579,0.42105263157894735,40.4,11.131578947368421,8.736842105263158,1.5526315789473684,0.05263157894736842,0.15789473684210525,53.526315789473685
15,Southampton,1.1578947368421053,0.7105263157894737,1.9210526315789473,0.07894736842105263,15.868421052631579,35.078947368421055,2.9473684210526314,12.605263157894736,4.078947368421052,10.763157894736842,0.9210526315789473,3.6578947368421053,17.526315789473685,5.078947368421052,11.263157894736842,14.026315789473685,14.447368421052632,29.68421052631579,0.47368421052631576,43.4,11.052631578947368,8.973684210526315,1.605263157894737,0.10526315789473684,0.07894736842105263,54.026315789473685
16,Tottenham,1.736842105263158,1.236842105263158,1.5,0.07894736842105263,22.105263157894736,45.89473684210526,3.1052631578947367,14.026315789473685,4.7894736842105265,12.026315789473685,2.289473684210526,3.5789473684210527,16.92105263157895,5.105263157894737,9.81578947368421,10.921052631578947,8.552631578947368,21.657894736842106,0.5263157894736842,59.0,9.894736842105264,9.578947368421053,1.9473684210526316,0.07894736842105263,0.13157894736842105,55.44736842105263
17,Watford,1.3421052631578947,1.0263157894736843,2.0789473684210527,0.10526315789473684,15.473684210526315,34.05263157894737,3.236842105263158,11.473684210526315,3.8947368421052633,12.710526315789474,0.8421052631578947,3.0789473684210527,15.0,4.657894736842105,10.289473684210526,10.631578947368421,11.263157894736842,26.894736842105264,0.47368421052631576,46.7,11.394736842105264,10.052631578947368,2.3421052631578947,0.02631578947368421,0.13157894736842105,53.18421052631579
18,West Ham,1.3421052631578947,0.868421052631579,1.5526315789473684,0.02631578947368421,19.236842105263158,38.89473684210526,3.763157894736842,11.473684210526315,3.9210526315789473,13.18421052631579,1.9736842105263157,4.2368421052631575,16.605263157894736,4.947368421052632,10.342105263157896,12.842105263157896,12.026315789473685,24.36842105263158,0.42105263157894735,48.6,8.710526315789474,10.210526315789474,1.868421052631579,0.13157894736842105,0.13157894736842105,55.36842105263158
19,Wolves,1.2105263157894737,0.9210526315789473,1.9210526315789473,0.02631578947368421,19.55263157894737,35.526315789473685,2.6052631578947367,12.447368421052632,3.789473684210526,9.5,1.3421052631578947,5.105263157894737,16.36842105263158,5.131578947368421,10.736842105263158,13.131578947368421,13.18421052631579,23.55263157894737,0.6052631578947368,46.8,10.763157894736842,8.552631578947368,1.9210526315789473,0.10526315789473684,0.10526315789473684,58.921052631578945
