,Squad,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Saves,Sh,SoT,FK,TB,Sw,Crs,CK,TklW,Blocks,Int,Clr,Err,Poss,Fls,Fld,Off,PKwon,PKcon,Recov
0,Arsenal,2.3333333333333335,1.7777777777777777,1.4444444444444444,0.0,23.555555555555557,58.48148148148148,2.4074074074074074,17.037037037037038,5.37037037037037,14.11111111111111,1.962962962962963,3.074074074074074,19.62962962962963,6.407407407407407,9.444444444444445,9.481481481481481,6.555555555555555,16.296296296296298,0.6296296296296297,60.1,9.814814814814815,11.777777777777779,1.5185185185185186,0.07407407407407407,0.1111111111111111,54.77777777777778
1,Aston Villa,1.2222222222222223,0.8518518518518519,1.962962962962963,0.037037037037037035,15.962962962962964,33.44444444444444,2.814814814814815,11.37037037037037,4.0,14.222222222222221,1.4074074074074074,2.888888888888889,15.333333333333334,4.0,9.222222222222221,12.518518518518519,9.074074074074074,17.703703703703702,0.4074074074074074,49.1,11.11111111111111,12.25925925925926,1.6296296296296295,0.1111111111111111,0.18518518518518517,50.18518518518518
2,Bournemouth,0.9259259259259259,0.7037037037037037,1.8148148148148149,0.0,12.296296296296296,24.40740740740741,3.4814814814814814,8.407407407407407,3.0,11.444444444444445,1.0740740740740742,2.4074074074074074,13.185185185185185,3.6666666666666665,9.962962962962964,13.74074074074074,8.777777777777779,28.14814814814815,0.3333333333333333,38.4,10.148148148148149,10.0,0.9629629629629629,0.0,0.25925925925925924,49.925925925925924
3,Brentford,1.5555555555555556,0.8888888888888888,1.4444444444444444,0.037037037037037035,10.148148148148149,30.444444444444443,4.0,10.333333333333334,3.7777777777777777,11.962962962962964,1.6296296296296295,2.925925925925926,17.48148148148148,4.481481481481482,8.925925925925926,11.851851851851851,9.222222222222221,22.296296296296298,0.2962962962962963,44.3,9.11111111111111,10.518518518518519,1.7777777777777777,0.18518518518518517,0.037037037037037035,52.148148148148145
4,Brighton,1.5555555555555556,1.0,1.2222222222222223,0.0,18.925925925925927,45.888888888888886,1.9259259259259258,13.296296296296296,4.962962962962963,10.555555555555555,1.7777777777777777,3.7777777777777777,17.666666666666668,5.62962962962963,8.703703703703704,9.37037037037037,8.25925925925926,10.851851851851851,0.3333333333333333,59.1,9.777777777777779,9.407407407407407,1.7037037037037037,0.14814814814814814,0.2222222222222222,48.81481481481482
5,Chelsea,1.0740740740740742,0.7407407407407407,2.1481481481481484,0.1111111111111111,20.666666666666668,43.629629629629626,3.074074074074074,12.037037037037036,3.888888888888889,13.0,1.4814814814814814,3.740740740740741,17.296296296296298,5.592592592592593,11.666666666666666,12.25925925925926,9.518518518518519,18.296296296296298,0.4074074074074074,59.0,10.851851851851851,12.0,2.259259259259259,0.1111111111111111,0.0,54.407407407407405
6,Crystal Palace,0.7777777777777778,0.6296296296296297,2.4444444444444446,0.1111111111111111,13.37037037037037,31.444444444444443,3.259259259259259,10.185185185185185,3.2962962962962963,14.333333333333334,0.7037037037037037,3.074074074074074,14.62962962962963,4.407407407407407,11.592592592592593,13.407407407407407,10.592592592592593,23.40740740740741,0.14814814814814814,43.6,12.518518518518519,12.962962962962964,1.6666666666666667,0.037037037037037035,0.07407407407407407,56.22222222222222
7,Everton,0.7777777777777778,0.6296296296296297,2.3703703703703702,0.0,13.518518518518519,27.77777777777778,3.5925925925925926,10.62962962962963,3.5185185185185186,11.814814814814815,1.2592592592592593,2.962962962962963,18.11111111111111,4.666666666666667,11.518518518518519,13.925925925925926,10.25925925925926,24.185185185185187,0.5185185185185185,43.9,10.62962962962963,10.37037037037037,1.8148148148148149,0.07407407407407407,0.14814814814814814,54.370370370370374
8,Fulham,1.2962962962962963,0.7777777777777778,2.3703703703703702,0.037037037037037035,17.074074074074073,33.111111111111114,3.740740740740741,11.185185185185185,3.740740740740741,12.074074074074074,0.4074074074074074,4.185185185185185,20.037037037037038,4.555555555555555,8.925925925925926,12.11111111111111,9.148148148148149,19.11111111111111,0.2222222222222222,47.0,10.703703703703704,10.074074074074074,1.4444444444444444,0.2222222222222222,0.14814814814814814,52.629629629629626
9,Leeds United,1.2222222222222223,0.9259259259259259,2.2962962962962963,0.07407407407407407,15.62962962962963,37.81481481481482,2.962962962962963,12.074074074074074,3.6666666666666665,12.88888888888889,1.037037037037037,2.1481481481481484,16.37037037037037,5.37037037037037,13.296296296296296,13.703703703703704,10.37037037037037,18.703703703703702,0.4074074074074074,48.8,12.296296296296296,11.11111111111111,1.5185185185185186,0.037037037037037035,0.07407407407407407,57.96296296296296
